0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年04月07日(金),2023年04月07日(金),2023年04月07日(金),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2026/03/28 15:30,印字時刻 2026/03/28 15:30,印字時刻 2026/03/28 15:30
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,5,50,3,7,625,7,12,675,0
,01-02,3,5,48,2,2,625,5,7,673,0
,02-03,3,8,46,1,0,626,4,8,672,0
,03-04,2,2,46,1,4,623,3,6,669,0
,04-05,2,0,48,19,1,641,21,1,689,0
,05-06,7,1,53,40,2,676,47,3,729,0
,06-07,17,2,66,119,10,789,136,12,855,0
,07-08,84,34,117,280,52,1010,364,86,1127,0
,08-09,244,41,311,508,74,1447,752,115,1758,1
,09-10,264,52,517,191,103,1537,455,155,2054,2
,10-11,305,154,679,66,67,1536,371,221,2215,18
,11-12,269,287,663,59,70,1527,328,357,2190,42
,12-13,328,323,669,64,80,1511,392,403,2180,61
,13-14,287,297,657,53,76,1488,340,373,2145,71
,14-15,304,312,651,58,50,1495,362,362,2146,63
,15-16,285,330,603,62,60,1495,347,390,2098,54
,16-17,279,341,550,81,100,1478,360,441,2028,57
,17-18,291,377,457,56,247,1292,347,624,1749,61
,18-19,319,322,460,71,285,1076,390,607,1536,40
,19-20,170,311,329,48,213,907,218,524,1236,26
,20-21,24,144,196,18,153,775,42,297,971,0
,21-22,14,64,144,18,86,708,32,150,852,0
,22-23,2,46,101,5,40,670,7,86,771,0
,23-24,7,21,86,8,37,641,15,58,727,0
,合　計,3514,3479,-,1831,1819,-,5345,5298,-,496
,,,,,,,,,,,
,総駐車時間,6408:26,6408:26,6408:26,21657:32,21657:32,21657:32,28065:58,28065:58,28065:58,
,平均駐車時間,1:52,1:52,1:52,12:22,12:22,12:22,5:24,5:24,5:24,
,回転率,1.21,1.21,1.21,0.96,0.96,0.96,1.11,1.11,1.11,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
