0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年08月26日(土),2023年08月26日(土),2023年08月26日(土),,,,,,,,
,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,印字時刻 2026/03/28 18:12,印字時刻 2026/03/28 18:12,印字時刻 2026/03/28 18:12
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,2,16,0,5,51,1,7,67,0
,01-02,1,2,15,0,0,51,1,2,66,0
,02-03,0,0,15,1,1,51,1,1,66,0
,03-04,0,0,15,0,0,51,0,0,66,0
,04-05,0,0,15,1,0,52,1,0,67,0
,05-06,0,0,15,2,2,52,2,2,67,0
,06-07,18,1,32,6,2,56,24,3,88,0
,07-08,16,2,44,5,1,60,21,3,104,0
,08-09,36,6,76,3,5,58,39,11,134,0
,09-10,57,11,120,4,3,59,61,14,179,1
,10-11,93,21,195,4,2,61,97,23,256,1
,11-12,125,35,282,3,1,63,128,36,345,5
,12-13,115,72,328,1,1,63,116,73,391,14
,13-14,117,92,349,2,1,64,119,93,413,20
,14-15,133,89,395,1,1,64,134,90,459,20
,15-16,175,83,482,0,4,60,175,87,542,26
,16-17,138,93,532,2,1,60,140,94,592,26
,17-18,76,71,537,1,6,56,77,77,593,17
,18-19,103,106,536,4,2,58,107,108,594,46
,19-20,161,182,515,3,3,58,164,185,573,66
,20-21,26,263,282,0,5,53,26,268,335,78
,21-22,4,201,82,0,3,51,4,204,133,42
,22-23,1,41,40,2,1,51,3,42,91,5
,23-24,6,17,30,0,3,48,6,20,78,1
,合　計,1402,1390,-,45,53,-,1447,1443,-,368
,,,,,,,,,,,
,総駐車時間,4834:27,4834:27,4834:27,716:28,716:28,716:28,5550:55,5550:55,5550:55,
,平均駐車時間,3:29,3:29,3:29,16:40,16:40,16:40,3:52,3:52,3:52,
,回転率,2.22,2.22,2.22,0,0,0,2.29,2.29,2.29,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
