0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年11月14日(火),2023年11月14日(火),2023年11月14日(火),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2026/03/28 19:40,印字時刻 2026/03/28 19:40,印字時刻 2026/03/28 19:40
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,1,39,1,1,116,2,2,155,0
,01-02,1,1,39,0,1,115,1,2,154,0
,02-03,0,0,39,0,0,115,0,0,154,0
,03-04,0,0,39,0,0,115,0,0,154,0
,04-05,0,1,38,4,0,118,4,1,156,0
,05-06,0,2,36,10,3,126,10,5,162,0
,06-07,7,2,41,26,5,147,33,7,188,0
,07-08,14,11,44,37,8,175,51,19,219,0
,08-09,46,12,74,108,23,261,154,35,335,1
,09-10,119,18,174,44,14,289,163,32,463,3
,10-11,236,77,338,12,11,292,248,88,630,12
,11-12,227,174,389,13,10,295,240,184,684,24
,12-13,201,243,353,8,9,294,209,252,647,53
,13-14,211,219,343,5,9,291,216,228,634,68
,14-15,198,213,329,8,9,289,206,222,618,48
,15-16,176,226,271,11,12,288,187,238,559,52
,16-17,186,201,266,15,16,287,201,217,553,52
,17-18,193,208,247,21,55,254,214,263,501,50
,18-19,195,197,243,16,69,199,211,266,442,40
,19-20,102,178,171,4,38,166,106,216,337,15
,20-21,18,96,91,7,32,142,25,128,233,0
,21-22,6,39,59,3,14,130,9,53,189,0
,22-23,1,14,44,1,7,125,2,21,169,0
,23-24,3,12,35,5,9,120,8,21,155,0
,合　計,2141,2145,-,359,355,-,2500,2500,-,418
,,,,,,,,,,,
,総駐車時間,3535:21,3535:21,3535:21,8645:31,8645:31,8645:31,12180:52,12180:52,12180:52,
,平均駐車時間,1:39,1:39,1:39,23:49,23:49,23:49,4:51,4:51,4:51,
,回転率,2.17,2.17,2.17,0,0,0,2.54,2.54,2.54,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
