日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2025-11-01,全駐車場,11-12,676,669,1391,34,30,956,710,699,2347,108,土,土日祝
2025-11-02,全駐車場,14-15,758,760,1478,29,24,848,787,784,2326,148,日,土日祝
2025-11-03,全駐車場,13-14,483,431,1016,25,23,923,508,454,1939,100,月,土日祝
2025-11-04,全駐車場,10-11,302,141,579,79,86,1930,381,227,2509,11,火,平日
2025-11-05,全駐車場,10-11,365,172,736,63,77,1846,428,249,2582,19,水,平日
2025-11-06,全駐車場,11-12,303,277,723,54,71,1862,357,348,2585,47,木,平日
2025-11-07,全駐車場,10-11,338,152,756,70,88,1828,408,240,2584,13,金,平日
2025-11-08,全駐車場,13-14,752,711,2005,28,38,957,780,749,2962,196,土,土日祝
2025-11-09,全駐車場,11-12,686,545,1494,22,15,893,708,560,2387,72,日,土日祝
2025-11-10,全駐車場,10-11,351,155,630,54,75,1874,405,230,2504,19,月,平日
2025-11-11,全駐車場,11-12,291,272,668,65,76,1870,356,348,2538,54,火,平日
2025-11-12,全駐車場,13-14,298,283,844,68,73,1781,366,356,2625,56,水,平日
2025-11-13,全駐車場,11-12,371,337,750,66,79,1833,437,416,2583,64,木,平日
2025-11-14,全駐車場,10-11,395,165,767,78,99,1791,473,264,2558,14,金,平日
2025-11-15,全駐車場,14-15,638,579,1430,40,46,942,678,625,2372,139,土,土日祝
2025-11-16,全駐車場,11-12,767,598,1957,30,23,871,797,621,2828,98,日,土日祝
2025-11-17,全駐車場,11-12,313,291,607,64,71,1856,377,362,2463,42,月,平日
2025-11-18,全駐車場,10-11,417,178,1180,59,85,1817,476,263,2997,21,火,平日
2025-11-19,全駐車場,10-11,428,211,849,66,89,1788,494,300,2637,38,水,平日
2025-11-20,全駐車場,10-11,392,169,729,54,101,1841,446,270,2570,18,木,平日
2025-11-21,全駐車場,10-11,401,147,772,55,86,1794,456,233,2566,16,金,平日
2025-11-22,全駐車場,14-15,582,545,1554,33,37,920,615,582,2474,95,土,土日祝
2025-11-23,全駐車場,11-12,246,235,1002,16,23,837,262,258,1839,34,日,土日祝
2025-11-24,全駐車場,13-14,526,486,940,26,26,903,552,512,1843,115,月,土日祝
2025-11-25,全駐車場,11-12,316,282,579,52,62,1871,368,344,2450,58,火,平日
2025-11-26,全駐車場,11-12,295,286,598,61,58,1795,356,344,2393,51,水,平日
2025-11-27,全駐車場,10-11,350,171,760,68,93,1833,418,264,2593,25,木,平日
2025-11-28,全駐車場,10-11,428,184,819,76,100,1809,504,284,2628,23,金,平日
2025-11-29,全駐車場,13-14,647,537,1361,36,36,959,683,573,2320,103,土,土日祝
2025-11-30,全駐車場,13-14,841,598,1659,18,17,886,859,615,2545,121,日,土日祝
