日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2025-04-01,全駐車場,11-12,308,284,828,51,52,1781,359,336,2609,46,火,平日
2025-04-02,全駐車場,11-12,352,291,846,50,53,1694,402,344,2540,42,水,平日
2025-04-03,全駐車場,11-12,326,295,966,67,59,1722,393,354,2688,43,木,平日
2025-04-04,全駐車場,10-11,351,141,797,61,74,1666,412,215,2463,21,金,平日
2025-04-05,全駐車場,11-12,469,480,1145,36,25,844,505,505,1989,75,土,土日祝
2025-04-06,全駐車場,14-15,557,543,1268,28,22,792,585,565,2060,135,日,土日祝
2025-04-07,全駐車場,11-12,250,232,645,44,55,1759,294,287,2404,48,月,平日
2025-04-08,全駐車場,10-11,327,173,804,63,63,1755,390,236,2559,33,火,平日
2025-04-09,全駐車場,10-11,323,153,682,76,90,1674,399,243,2356,19,水,平日
2025-04-10,全駐車場,10-11,322,151,663,62,75,1790,384,226,2453,23,木,平日
2025-04-11,全駐車場,10-11,314,144,664,67,80,1713,381,224,2377,21,金,平日
2025-04-12,全駐車場,14-15,572,502,1192,34,30,837,606,532,2029,112,土,土日祝
2025-04-13,全駐車場,13-14,661,529,1325,17,23,807,678,552,2132,125,日,土日祝
2025-04-14,全駐車場,10-11,327,135,598,56,74,1778,383,209,2376,20,月,平日
2025-04-15,全駐車場,10-11,321,164,661,62,85,1752,383,249,2413,18,火,平日
2025-04-16,全駐車場,11-12,350,280,1048,50,60,1728,400,340,2776,38,水,平日
2025-04-17,全駐車場,11-12,331,294,747,58,56,1774,389,350,2521,52,木,平日
2025-04-18,全駐車場,10-11,335,145,671,73,96,1698,408,241,2369,26,金,平日
2025-04-19,全駐車場,14-15,619,541,1410,30,35,846,649,576,2256,144,土,土日祝
2025-04-20,全駐車場,13-14,608,541,1347,18,18,810,626,559,2157,132,日,土日祝
2025-04-21,全駐車場,10-11,291,108,641,46,74,1768,337,182,2409,10,月,平日
2025-04-22,全駐車場,11-12,331,262,681,48,58,1790,379,320,2471,47,火,平日
2025-04-23,全駐車場,10-11,362,150,901,76,67,1734,438,217,2635,27,水,平日
2025-04-24,全駐車場,10-11,332,162,667,67,82,1776,399,244,2443,25,木,平日
2025-04-25,全駐車場,11-12,316,281,699,46,67,1694,362,348,2393,40,金,平日
2025-04-26,全駐車場,14-15,576,530,1200,37,33,862,613,563,2062,114,土,土日祝
2025-04-27,全駐車場,14-15,572,497,1217,23,23,799,595,520,2016,122,日,土日祝
2025-04-28,全駐車場,11-12,353,315,666,45,57,1640,398,372,2306,59,月,平日
2025-04-29,全駐車場,13-14,516,465,1140,6,14,810,522,479,1950,109,火,土日祝
2025-04-30,全駐車場,11-12,350,324,594,46,60,1696,396,384,2290,43,水,平日
2025-05-01,全駐車場,11-12,346,343,630,50,54,1718,396,397,2348,56,木,平日
2025-05-02,全駐車場,11-12,408,401,669,53,42,1658,461,443,2327,67,金,平日
2025-05-03,全駐車場,14-15,546,520,1098,23,22,823,569,542,1921,130,土,土日祝
2025-05-04,全駐車場,13-14,560,476,1284,25,25,774,585,501,2058,119,日,土日祝
2025-05-05,全駐車場,14-15,571,546,1181,17,23,820,588,569,2001,138,月,土日祝
2025-05-06,全駐車場,13-14,509,425,956,16,12,923,525,437,1879,95,火,土日祝
2025-05-07,全駐車場,10-11,323,149,524,69,66,1932,392,215,2456,16,水,平日
2025-05-08,全駐車場,10-11,343,149,599,61,79,1885,404,228,2484,24,木,平日
2025-05-09,全駐車場,10-11,344,172,740,64,84,1781,408,256,2521,22,金,平日
2025-05-10,全駐車場,14-15,651,574,1321,27,40,921,678,614,2242,139,土,土日祝
2025-05-11,全駐車場,14-15,561,532,1277,24,20,836,585,552,2113,129,日,土日祝
2025-05-12,全駐車場,11-12,306,253,602,48,72,1824,354,325,2426,39,月,平日
2025-05-13,全駐車場,13-14,386,256,745,57,69,1845,443,325,2590,53,火,平日
2025-05-14,全駐車場,10-11,363,129,684,60,77,1824,423,206,2508,15,水,平日
2025-05-15,全駐車場,10-11,331,168,608,58,69,1819,389,237,2427,25,木,平日
2025-05-16,全駐車場,10-11,335,156,606,62,88,1770,397,244,2376,32,金,平日
2025-05-17,全駐車場,11-12,640,567,1449,30,28,955,670,595,2404,109,土,土日祝
2025-05-18,全駐車場,13-14,807,695,1907,22,29,858,829,724,2765,172,日,土日祝
2025-05-19,全駐車場,14-15,279,275,604,52,50,1781,331,325,2385,57,月,平日
2025-05-20,全駐車場,11-12,256,238,529,48,52,1838,304,290,2367,42,火,平日
2025-05-21,全駐車場,10-11,319,148,599,60,63,1780,379,211,2379,21,水,平日
2025-05-22,全駐車場,10-11,318,150,540,60,80,1857,378,230,2397,21,木,平日
2025-05-23,全駐車場,11-12,288,288,574,57,53,1750,345,341,2324,49,金,平日
2025-05-24,全駐車場,14-15,601,479,1202,28,40,913,629,519,2115,117,土,土日祝
2025-05-25,全駐車場,14-15,634,566,1468,27,23,883,661,589,2351,123,日,土日祝
2025-05-26,全駐車場,11-12,269,230,526,51,66,1817,320,296,2343,40,月,平日
2025-05-27,全駐車場,10-11,320,150,586,56,91,1837,376,241,2423,11,火,平日
2025-05-28,全駐車場,10-11,359,164,625,67,62,1810,426,226,2435,17,水,平日
2025-05-29,全駐車場,10-11,346,158,579,67,87,1819,413,245,2398,22,木,平日
2025-05-30,全駐車場,10-11,361,161,638,57,78,1848,418,239,2486,22,金,平日
2025-05-31,全駐車場,14-15,617,614,1410,35,32,927,652,646,2337,137,土,土日祝
2025-06-01,全駐車場,12-13,714,685,1542,29,22,839,743,707,2381,158,日,土日祝
2025-06-02,全駐車場,11-12,276,245,518,42,64,1886,318,309,2404,35,月,平日
2025-06-03,全駐車場,11-12,286,277,568,45,54,1884,331,331,2452,45,火,平日
2025-06-04,全駐車場,11-12,298,286,589,56,43,1790,354,329,2379,57,水,平日
2025-06-05,全駐車場,11-12,302,290,689,54,59,1820,356,349,2509,37,木,平日
2025-06-06,全駐車場,11-12,303,276,635,58,68,1731,361,344,2366,36,金,平日
2025-06-07,全駐車場,14-15,566,505,1091,36,34,894,602,539,1985,123,土,土日祝
2025-06-08,全駐車場,11-12,543,454,1373,15,22,833,558,476,2206,67,日,土日祝
2025-06-09,全駐車場,10-11,337,141,563,61,77,1882,398,218,2445,14,月,平日
2025-06-10,全駐車場,11-12,287,246,608,57,57,1855,344,303,2463,35,火,平日
2025-06-11,全駐車場,11-12,322,289,670,53,62,1811,375,351,2481,48,水,平日
2025-06-12,全駐車場,14-15,332,288,626,60,60,1778,392,348,2404,63,木,平日
2025-06-13,全駐車場,10-11,327,144,634,67,84,1786,394,228,2420,19,金,平日
2025-06-14,全駐車場,14-15,625,574,1658,22,40,904,647,614,2562,132,土,土日祝
2025-06-15,全駐車場,14-15,644,582,1218,20,23,857,664,605,2075,126,日,土日祝
2025-06-16,全駐車場,11-12,279,266,611,52,57,1844,331,323,2455,33,月,平日
2025-06-17,全駐車場,10-11,335,157,615,82,62,1870,417,219,2485,15,火,平日
2025-06-18,全駐車場,11-12,332,326,672,51,43,1776,383,369,2448,50,水,平日
2025-06-19,全駐車場,12-13,435,359,818,71,108,1827,506,467,2645,88,木,平日
2025-06-20,全駐車場,10-11,378,168,668,63,82,1776,441,250,2444,21,金,平日
2025-06-21,全駐車場,14-15,745,552,1526,35,43,888,780,595,2414,149,土,土日祝
2025-06-22,全駐車場,12-13,684,637,1606,29,20,871,713,657,2477,125,日,土日祝
2025-06-23,全駐車場,10-11,327,138,605,57,75,1860,384,213,2465,19,月,平日
2025-06-24,全駐車場,11-12,279,286,656,52,47,1870,331,333,2526,44,火,平日
2025-06-25,全駐車場,11-12,330,307,683,49,54,1799,379,361,2482,52,水,平日
2025-06-26,全駐車場,14-15,347,270,925,59,65,1824,406,335,2749,61,木,平日
2025-06-27,全駐車場,11-12,318,297,690,56,63,1763,374,360,2453,48,金,平日
2025-06-28,全駐車場,14-15,696,607,1662,32,29,936,728,636,2598,123,土,土日祝
2025-06-29,全駐車場,13-14,670,523,1320,26,21,862,696,544,2182,130,日,土日祝
2025-06-30,全駐車場,11-12,327,278,550,56,74,1874,383,352,2424,47,月,平日
2025-07-01,全駐車場,11-12,300,280,535,57,70,1909,357,350,2444,44,火,平日
2025-07-02,全駐車場,10-11,396,166,646,64,73,1864,460,239,2510,19,水,平日
2025-07-03,全駐車場,10-11,347,168,555,56,87,1890,403,255,2445,20,木,平日
2025-07-04,全駐車場,13-14,401,301,802,84,85,1782,485,386,2584,60,金,平日
2025-07-05,全駐車場,14-15,603,527,1157,23,35,871,626,562,2028,133,土,土日祝
2025-07-06,全駐車場,13-14,590,526,1158,21,20,839,611,546,1997,124,日,土日祝
2025-07-07,全駐車場,10-11,332,153,554,59,80,1800,391,233,2354,24,月,平日
2025-07-08,全駐車場,10-11,303,151,529,60,78,1831,363,229,2360,20,火,平日
2025-07-09,全駐車場,11-12,306,271,619,46,55,1768,352,326,2387,42,水,平日
2025-07-10,全駐車場,10-11,358,156,618,72,69,1801,430,225,2419,22,木,平日
2025-07-11,全駐車場,10-11,302,178,571,62,92,1727,364,270,2298,24,金,平日
2025-07-12,全駐車場,14-15,556,528,1118,37,35,879,593,563,1997,131,土,土日祝
2025-07-13,全駐車場,11-12,585,506,1045,20,14,805,605,520,1850,78,日,土日祝
2025-07-14,全駐車場,13-14,276,286,530,67,79,1790,343,365,2320,63,月,平日
2025-07-15,全駐車場,10-11,408,192,669,63,66,1748,471,258,2417,23,火,平日
2025-07-16,全駐車場,10-11,373,178,736,53,73,1743,426,251,2479,21,水,平日
2025-07-17,全駐車場,14-15,362,326,735,73,61,1757,435,387,2492,66,木,平日
2025-07-18,全駐車場,10-11,348,166,743,75,75,1740,423,241,2483,26,金,平日
2025-07-19,全駐車場,14-15,689,603,1370,23,33,830,712,636,2200,135,土,土日祝
2025-07-20,全駐車場,11-12,615,499,1508,15,21,785,630,520,2293,90,日,土日祝
2025-07-21,全駐車場,13-14,515,490,1109,26,22,779,541,512,1888,102,月,土日祝
2025-07-22,全駐車場,11-12,367,292,722,45,62,1791,412,354,2513,33,火,平日
2025-07-23,全駐車場,10-11,382,185,726,77,65,1747,459,250,2473,19,水,平日
2025-07-24,全駐車場,10-11,393,199,711,66,87,1754,459,286,2465,29,木,平日
2025-07-25,全駐車場,14-15,387,320,885,79,56,1610,466,376,2495,59,金,平日
2025-07-26,全駐車場,11-12,589,558,1483,38,21,879,627,579,2362,75,土,土日祝
2025-07-27,全駐車場,13-14,733,527,1398,26,20,796,759,547,2194,116,日,土日祝
2025-07-28,全駐車場,11-12,328,306,733,52,61,1747,380,367,2480,48,月,平日
2025-07-29,全駐車場,11-12,337,338,731,53,55,1742,390,393,2473,52,火,平日
2025-07-30,全駐車場,10-11,446,200,830,73,80,1722,519,280,2552,25,水,平日
2025-07-31,全駐車場,12-13,381,345,807,65,91,1762,446,436,2569,64,木,平日
2025-08-01,全駐車場,10-11,415,172,748,64,77,1727,479,249,2475,16,金,平日
2025-08-02,全駐車場,14-15,653,597,1622,31,42,857,684,639,2479,130,土,土日祝
2025-08-03,全駐車場,14-15,664,660,1645,28,30,810,692,690,2455,145,日,土日祝
2025-08-04,全駐車場,12-13,470,358,1084,60,98,1753,530,456,2837,69,月,平日
2025-08-05,全駐車場,14-15,324,293,1142,77,52,1766,401,345,2908,65,火,平日
2025-08-06,全駐車場,10-11,429,204,849,60,98,1733,489,302,2582,29,水,平日
2025-08-07,全駐車場,11-12,314,300,747,52,66,1717,366,366,2464,53,木,平日
2025-08-08,全駐車場,10-11,433,215,810,73,89,1671,506,304,2481,21,金,平日
2025-08-09,全駐車場,14-15,573,531,1167,30,36,817,603,567,1984,112,土,土日祝
2025-08-10,全駐車場,14-15,679,601,1574,20,20,757,699,621,2331,141,日,土日祝
2025-08-11,全駐車場,13-14,556,519,1209,12,19,762,568,538,1971,114,月,土日祝
2025-08-12,全駐車場,11-12,396,357,898,40,36,1449,436,393,2347,65,火,平日
2025-08-13,全駐車場,11-12,388,366,802,45,38,1289,433,404,2091,57,水,平日
2025-08-14,全駐車場,14-15,428,402,919,25,38,1282,453,440,2201,94,木,平日
2025-08-15,全駐車場,11-12,438,408,914,32,32,1263,470,440,2177,54,金,平日
2025-08-16,全駐車場,14-15,577,564,1127,22,26,814,599,590,1941,121,土,土日祝
2025-08-17,全駐車場,14-15,602,588,1293,17,13,754,619,601,2047,125,日,土日祝
2025-08-18,全駐車場,11-12,320,305,750,52,69,1781,372,374,2531,51,月,平日
2025-08-19,全駐車場,11-12,349,310,780,41,66,1740,390,376,2520,40,火,平日
2025-08-20,全駐車場,10-11,477,176,875,68,70,1691,545,246,2566,26,水,平日
2025-08-21,全駐車場,11-12,345,322,796,56,66,1768,401,388,2564,43,木,平日
2025-08-22,全駐車場,11-12,358,337,783,42,63,1672,400,400,2455,53,金,平日
2025-08-23,全駐車場,18-19,527,468,2759,12,57,800,539,525,3559,150,土,土日祝
2025-08-24,全駐車場,18-19,625,583,2721,13,30,784,638,613,3505,182,日,土日祝
2025-08-25,全駐車場,11-12,357,342,767,49,63,1757,406,405,2524,45,月,平日
2025-08-26,全駐車場,11-12,343,317,846,59,68,1734,402,385,2580,38,火,平日
2025-08-27,全駐車場,10-11,435,203,784,65,82,1676,500,285,2460,20,水,平日
2025-08-28,全駐車場,14-15,362,355,779,73,57,1706,435,412,2485,73,木,平日
2025-08-29,全駐車場,11-12,362,339,837,59,55,1726,421,394,2563,58,金,平日
2025-08-30,全駐車場,13-14,715,548,1448,40,24,924,755,572,2372,109,土,土日祝
2025-08-31,全駐車場,14-15,589,603,1266,25,28,851,614,631,2117,132,日,土日祝
2025-09-01,全駐車場,10-11,299,162,602,61,83,1903,360,245,2505,25,月,平日
2025-09-02,全駐車場,10-11,375,186,822,63,75,1872,438,261,2694,18,火,平日
2025-09-03,全駐車場,10-11,415,185,828,74,88,1822,489,273,2650,19,水,平日
2025-09-04,全駐車場,13-14,346,320,971,83,65,1814,429,385,2785,62,木,平日
2025-09-05,全駐車場,10-11,367,171,809,48,96,1733,415,267,2542,16,金,平日
2025-09-06,全駐車場,14-15,603,563,1359,31,47,904,634,610,2263,128,土,土日祝
2025-09-07,全駐車場,13-14,557,437,1258,19,13,835,576,450,2093,99,日,土日祝
2025-09-08,全駐車場,10-11,306,155,678,62,84,1798,368,239,2476,23,月,平日
2025-09-09,全駐車場,10-11,350,166,737,57,108,1781,407,274,2518,28,火,平日
2025-09-10,全駐車場,10-11,358,177,731,60,87,1774,418,264,2505,18,水,平日
2025-09-11,全駐車場,10-11,348,184,769,53,97,1785,401,281,2554,30,木,平日
2025-09-12,全駐車場,10-11,347,157,769,75,83,1786,422,240,2555,17,金,平日
2025-09-13,全駐車場,13-14,604,534,1340,34,24,920,638,558,2260,125,土,土日祝
2025-09-14,全駐車場,14-15,622,606,1620,22,18,826,644,624,2446,159,日,土日祝
2025-09-15,全駐車場,13-14,527,432,1180,12,13,840,539,445,2020,107,月,土日祝
2025-09-16,全駐車場,10-11,288,143,670,66,94,1888,354,237,2558,17,火,平日
2025-09-17,全駐車場,10-11,385,186,784,59,80,1816,444,266,2600,20,水,平日
2025-09-18,全駐車場,10-11,372,161,776,70,102,1841,442,263,2617,24,木,平日
2025-09-19,全駐車場,10-11,364,181,759,70,110,1741,434,291,2500,27,金,平日
2025-09-20,全駐車場,11-12,642,568,1328,31,31,931,673,599,2259,86,土,土日祝
2025-09-21,全駐車場,13-14,629,535,1537,14,20,849,643,555,2386,128,日,土日祝
2025-09-22,全駐車場,10-11,403,176,736,61,86,1715,464,262,2451,28,月,平日
2025-09-23,全駐車場,15-16,553,498,1093,20,25,842,573,523,1935,118,火,土日祝
2025-09-24,全駐車場,10-11,336,184,673,54,87,1840,390,271,2513,26,水,平日
2025-09-25,全駐車場,10-11,350,209,686,83,92,1802,433,301,2488,21,木,平日
2025-09-26,全駐車場,10-11,401,203,757,62,96,1791,463,299,2548,24,金,平日
2025-09-27,全駐車場,14-15,552,485,1329,30,37,894,582,522,2223,101,土,土日祝
2025-09-28,全駐車場,14-15,621,561,1348,32,21,849,653,582,2197,144,日,土日祝
2025-09-29,全駐車場,10-11,367,161,586,53,84,1910,420,245,2496,21,月,平日
2025-09-30,全駐車場,10-11,332,191,618,82,84,1960,414,275,2578,22,火,平日
